name,profile_url,description,website,first_line
Eastman Machine Company,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=781,Eastman Machine Company Eastman Machine Comp,https://www.thecamx.org/,Noticed your focus on industrial cutting and machine solutions—curious how you're helping manufacturers improve precision without compromising speed.
3A Composites Core Materials / Baltek Inc.,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=102,3A Composites Core Mater,https://www.thecamx.org/,"Saw your work in composite materials—interested in how you're helping manufacturers balance strength, weight, and production efficiency."
3M Transportation & Energy Business,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=366,3M Transportation & Energy Business 3M’s extensive portfolio,https://www.thecamx.org/,Noticed your work in transportation and energy solutions—curious how you're supporting evolving material and performance demands in these sectors.
A&P Technology,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=367,A&P Technology A&P Technology is a world leading producer of braided reinforce,https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
A+ Composites GmbH,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=11725,A+ Composites GmbH A+ Composites is a global technology leader in the developme,https://www.thecamx.org/,"Saw your work in composite materials—interested in how you're helping manufacturers balance strength, weight, and production efficiency."
"A.B. Carter, Inc.",https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=254,"A.B. Carter, Inc. A. B. Carter, Inc. is recognized as a world l",https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
A.P.C.M. Manufacturing LLC,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=255,A.P.C.M. Manufacturing LLC A.P.C,https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
Aalchem,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=10042,Aalchem Aalchem offers a broad line of top-quality chemical products with an i,https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
Abaris Training Resources Inc,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=368,Abaris Training Resources Inc Aba,https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
Abrasive Technology,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=12035,"Abrasive Technology Founded in 1971, Abrasive Technology is",https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
ACE Awards,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=11587,"Sep. 21 - 24 Atlanta  Sessions Floor Plan My Show Planner  ACE Awards ACE Awards  Booths Building C, Level 1 — T62 Notes Create or log in to My Show P",https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
"ACMA, American Composites Manufacturers Association",https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=639,"ACMA, Ame",https://www.thecamx.org/,"Saw your work in composite materials—interested in how you're helping manufacturers balance strength, weight, and production efficiency."
ACXYS TECHNOLOGIES | Plasma Bound,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=11819,ACXYS TECHNOLOGIES | Plasma Bound Specialized i,https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
Additive Engineering Solutions,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=9877,Additive Engineering Solutions AES is a full service de,https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
Aditya Birla Advanced Materials,https://camx2026.mapyourshow.com/8_0/exhibitor/exhibitor-details.cfm?exhid=11646,Aditya Birla Advanced Materials Wi,https://www.thecamx.org/,Noticed your presence at CAMX—curious what key solutions you're focusing on this year for manufacturers.
